Station,Site,2014-07-27,2014-07-28,2014-07-29,2014-07-30,2014-07-31,2014-08-01,2014-08-02,2014-08-03,2014-08-04,2014-08-05,2014-08-06,2014-08-07,2014-08-08,2014-08-09,2014-08-10,2014-08-11,2014-08-12,2014-08-13,2014-08-14,2014-08-15,2014-08-16,2014-08-17,2014-08-18,2014-08-19,2014-08-20,2014-08-21,2014-08-22,2014-08-23,2014-08-24,2014-08-25,2014-08-26,2014-08-27,2014-08-28,2014-08-29,2014-08-30,2014-08-31,2014-09-01,2014-09-02,2014-09-03,2014-09-04,2014-09-05,2014-09-06,2014-09-07,2014-09-08,2014-09-09,2014-09-10,2014-09-11,2014-09-12,2014-09-13,2014-09-14,2014-09-15,2014-09-16,2014-09-17,2014-09-18,2014-09-19,2014-09-20,2014-09-21
0001,San Rafael,0.01904925,0.01782075,0.0170485,0.0120165,0.01669725,0.0178655,0.018906,0.02210425,0.022088249999999997,0.01251975,0.01502525,0.015118999999999999,0.01781375,0.01783475,0.018186499999999998,0.021843500000000002,0.025391,0.0183205,0.012898499999999999,0.018839250000000002,0.019547,0.01909075,0.02166125,0.023049749999999997,0.02243,0.0168155,0.017591000000000002,0.02398675,0.02654625,0.026380999999999998,0.027609750000000002,0.02500025,0.018099,0.0148915,0.02219525,0.022592499999999998,0.0261045,0.01927525,0.022486,0.022053,0.02821025,0.038059499999999996,0.039177000000000003,0.0348265,0.0210405,0.020603749999999997,0.025557750000000004,0.02156175,0.02401925,0.02877525,0.028524,0.02369175,0.020448,0.018041249999999998,0.01558875,0.023496750000000004,0.02412325
0002,Concord,0.0274055,0.023005,0.029739500000000002,0.023594499999999997,0.024402499999999997,0.028966000000000002,0.025171,0.023739749999999997,0.024571750000000003,0.01335425,0.025358000000000002,0.0218975,0.028201249999999997,0.02238525,0.023954,0.027958,0.02780925,0.021220499999999996,0.02191275,0.026307499999999998,0.0280665,0.0289205,0.026445999999999997,0.026243,0.023701500000000004,0.023066000000000003,0.0227455,0.033824,0.03170975,0.03277,0.0347725,0.03661575,0.03205525,0.021411500000000003,0.02685075,0.02990925,0.04010075,0.02418675,0.030220249999999997,0.034266000000000005,0.037008,0.0430595,0.044834,0.041779250000000004,0.0315745,0.037498,0.038551999999999996,0.0298625,0.0318455,0.0355255,0.031268000000000004,0.03128575,0.023305,0.023354999999999997,0.024730000000000002,0.02653,0.026268499999999997
0002,North Highlands-Blackfoot,0.0385685,0.0365695,0.039683750000000004,0.0421105,0.042983999999999994,0.04292425,0.04314375,0.03619625,0.02847425,0.02492075,0.0402525,0.04013175000000001,0.04047525,0.036766999999999994,0.03475525,0.04331425,0.036795749999999995,0.025153500000000002,0.029671,0.04317225,0.042299250000000004,0.03997275,0.036005999999999996,0.03469875,0.03184,0.035174000000000004,0.030539999999999998,0.04296975,0.038260749999999996,0.03732725,0.043162,0.049926,0.0444055,0.03193925,0.035926,0.03256,0.03673625,0.0371555,0.037371,0.03910725,0.04696975,0.050960000000000005,0.050583,0.0429775,0.032459749999999996,0.0361335,0.0416785,0.03478,0.0326865,0.04196475,0.033593,0.037756,0.03160825,0.028741000000000003,0.0287665,0.03538775,0.029841250000000003
0003,Napa,0.021976499999999996,0.020556500000000002,0.021642,0.017998249999999997,0.020011499999999998,0.023518499999999998,0.021296250000000003,0.02238175,0.023163000000000003,0.0085765,0.018156500000000002,0.015202750000000001,0.02055125,0.019064499999999998,0.020255000000000002,0.0200155,0.0241325,0.019177,0.01707275,0.022405,0.023503,0.021847000000000002,0.023211000000000002,0.024821500000000003,0.023065500000000003,0.02303225,0.02082925,0.02774275,0.0319,0.02597775,0.026794,0.02815425,0.02228525,0.01567575,0.020286,0.022061499999999998,0.028634,0.01976625,0.0239585,0.0264725,0.02981,0.0334025,0.0322,0.02824625,0.02376975,0.03241375,0.030935999999999998,0.029365749999999996,0.02715725,0.029607500000000002,0.024240750000000002,0.023993499999999997,0.02053775,0.0190225,0.017313,0.02135525,0.021103750000000004
0003,Yuba City,0.0360235,0.033717,0.03711925,0.03704325,0.03851325,0.036962999999999996,0.036957750000000004,0.03211,0.0240635,0.022826250000000003,0.032537750000000004,0.03751425,0.036714000000000004,0.03380675,0.02916925,0.0398405,0.03223,0.0215745,0.02745875,0.03569750000000001,0.0377425,0.03652325,0.034090499999999996,0.032322500000000004,0.02937025,0.03164475,0.02776025,0.0368225,0.035453250000000006,0.03247975,0.03793775,0.04468075,0.04211875,0.027661250000000002,0.03181375,0.0309815,0.03705425,0.03171575,0.0291255,0.03351125,0.039471,0.043111000000000003,0.044133,0.03818175,0.028269250000000003,0.034787750000000006,0.039004250000000004,0.03126575,0.0241115,0.03415225,0.02980375,0.03682075,,,0.0286275,0.031454249999999996,0.02402525
0004,Davis-UCD Campus,0.026094250000000003,0.02190775,0.026969999999999997,0.02510925,0.02576875,0.0318065,0.0258155,0.02509525,0.022372750000000004,0.02868775,0.032052250000000004,0.02544425,0.025563999999999996,0.022740749999999997,0.021455000000000002,0.028888999999999998,0.0277385,0.016897000000000002,0.021399,0.027129,0.02821725,0.025032500000000003,0.024581,0.02388275,0.021888750000000002,0.023157,0.021490500000000003,0.028901,0.030678499999999997,0.027853000000000003,0.0295555,0.03337775,0.03270525,0.0214055,0.02357375,0.023695249999999998,0.026336250000000002,0.02150775,0.026911,0.02739875,0.031005249999999998,0.03753975,0.03575075,0.030157,0.025713499999999997,0.029090249999999998,0.036141,0.028325250000000003,0.009166666666666665,,,,,0.013869000000000001,0.02213775,0.0245235,0.021179000000000003
0004,Sebastopol,0.019632,0.017997,0.01656575,0.01427425,0.0153405,0.017517249999999998,0.021476750000000003,0.022213749999999997,0.022564249999999998,0.01150525,0.014300249999999999,0.01459575,0.015914,0.017444,0.01994075,0.022992999999999996,0.023055,0.017700499999999997,0.015354,0.024463750000000003,0.023450250000000002,0.019485000000000002,0.0217405,0.02263,0.02107775,0.019741250000000002,0.021873749999999997,0.025749,0.030026,0.024923499999999998,0.024506500000000004,0.01917075,0.017861000000000002,0.012237999999999999,0.015798,0.01863475,0.02021975,0.01861375,0.02490375,0.029645249999999998,0.031301,0.034619750000000005,0.030198999999999997,0.02568575,0.01942625,0.023252250000000002,0.02264025,0.02109975,0.025388249999999998,0.026570249999999997,0.0209135,0.019894250000000002,0.021232,0.01576825,0.014588750000000001,0.02265225,0.020484750000000003
0004,Sutter Buttes (seasonal),0.053496499999999995,0.048388,0.048493999999999995,0.05220349999999999,0.05440125,0.0500635,0.049576999999999996,0.048005,0.05006725,0.04803025,0.054481749999999995,0.05826025,0.05324625,0.05062875,0.04234400000000001,0.05186249999999999,0.047970250000000006,0.035192,0.0403485,0.051435749999999995,0.0539575,0.0529705,0.0521635,0.0480815,0.039904499999999996,0.043715000000000004,0.04248525,0.0528405,0.049031,0.045682749999999994,0.05342625,0.0606285,0.0613875,0.05679,0.045849,0.04587675,0.049505,0.0508715,0.046000000000000006,,,,,,0.048686499999999994,0.0557965,0.0650785,0.04817225,0.048149000000000004,0.05046425,0.03947775,0.04694175,0.03125875,0.03935475,0.04113375,0.04713425,0.043741249999999995
0004,Vallejo,0.021637250000000004,0.020703,0.02131875,0.01839875,0.02184825,0.025756750000000002,0.024316249999999998,0.025579249999999998,0.025118500000000002,0.014005,0.02022875,0.018621250000000002,0.021098250000000002,0.0204195,0.02190475,0.025632,0.028041,0.023780250000000003,0.017059750000000002,0.02548525,0.026379999999999997,0.024254500000000002,0.0252615,0.026078499999999998,0.024480500000000002,0.02227975,0.024574,0.030156,0.03076175,0.03141075,0.03224125,0.03249225,0.026110500000000002,0.01762925,0.021961750000000002,0.02623425,0.032243,0.0237985,0.029330250000000002,0.03255925,0.03770275000000001,0.043823,0.04337275,0.04199775,0.02868325,0.030491499999999998,0.0349,0.032053,0.0324615,0.0371725,0.0319055,0.02697075,0.0240095,0.023461500000000003,0.023186250000000002,0.026954,0.027757499999999997
0005,Fairfield,0.025374,0.023177,0.0260465,0.02250925,0.02415,0.02929375,0.024749,0.0255705,0.025947750000000002,0.01264975,0.02450575,0.02156775,0.026322750000000002,0.0229555,0.0238535,0.027317499999999998,0.02886275,0.02354225,0.0209245,0.02805725,0.0280255,0.02489625,0.025453499999999997,0.026405249999999998,0.02480825,0.02355925,0.02385275,0.03231575,0.032164,0.030706249999999997,0.034382499999999996,0.03584125,0.0288635,0.021313000000000002,0.024627,0.02745275,0.032966999999999996,0.024183,0.028953,0.031562,0.0372445,0.043229500000000004,0.04201225,0.03768725,0.030132,0.04119975,0.0396835,0.03794725,0.0330275,0.036313,0.0321125,0.03157375,0.0263015,0.0251865,0.022800499999999998,0.026087750000000003,0.026948999999999997
