,Parameter,Date,Measurement
0,Nitrogen dioxide (NO2),2019-05-10,2.4583333333333335
1,Nitrogen dioxide (NO2),2019-05-11,2.2166666666666663
2,Nitrogen dioxide (NO2),2019-05-12,1.9833333333333332
3,Nitrogen dioxide (NO2),2019-05-13,2.808333333333334
4,Nitrogen dioxide (NO2),2019-05-14,2.045833333333333
5,Nitrogen dioxide (NO2),2019-05-15,2.716666666666667
6,Nitrogen dioxide (NO2),2019-05-16,2.0708333333333333
7,Nitrogen dioxide (NO2),2019-05-17,1.8374999999999995
8,Nitrogen dioxide (NO2),2019-05-18,1.6458333333333333
9,Nitrogen dioxide (NO2),2019-05-19,2.458333333333333
10,Nitrogen dioxide (NO2),2019-05-20,2.316666666666667
11,Nitrogen dioxide (NO2),2019-05-21,1.2291666666666665
12,Nitrogen dioxide (NO2),2019-05-22,1.775
13,Nitrogen dioxide (NO2),2019-05-23,1.7541666666666667
14,Nitrogen dioxide (NO2),2019-05-24,2.0217391304347827
15,Ozone,2019-05-10,0.03010869565217391
16,Ozone,2019-05-11,0.030108695652173917
17,Ozone,2019-05-12,0.030934782608695654
18,Ozone,2019-05-13,0.03458695652173913
19,Ozone,2019-05-14,0.0373695652173913
20,Ozone,2019-05-15,0.04021739130434783
21,Ozone,2019-05-16,0.037869565217391314
22,Ozone,2019-05-17,0.041608695652173906
23,Ozone,2019-05-18,0.04147826086956522
24,Ozone,2019-05-19,0.030565217391304352
25,Ozone,2019-05-20,0.02291304347826088
26,Ozone,2019-05-21,0.03741304347826087
27,Ozone,2019-05-22,0.025029411764705894
28,Ozone,2019-05-23,0.026208333333333347
29,Ozone,2019-05-24,0.034478260869565236
30,Sulfur dioxide,2019-05-10,1.6273022751896
31,Sulfur dioxide,2019-05-11,0.9650641025641035
32,Sulfur dioxide,2019-05-12,0.26239316239316235
33,Sulfur dioxide,2019-05-13,0.2894679695982628
34,Sulfur dioxide,2019-05-14,0.5138084632516704
35,Sulfur dioxide,2019-05-15,0.5915236051502142
36,Sulfur dioxide,2019-05-16,0.4381410256410256
37,Sulfur dioxide,2019-05-17,0.8455128205128196
38,Sulfur dioxide,2019-05-18,1.901175213675216
39,Sulfur dioxide,2019-05-19,0.6111111111111113
40,Sulfur dioxide,2019-05-20,0.7666666666666669
41,Sulfur dioxide,2019-05-21,0.5989316239316239
42,Sulfur dioxide,2019-05-22,1.0255225522552263
43,Sulfur dioxide,2019-05-23,0.4190170940170938
44,Sulfur dioxide,2019-05-24,0.48145766345123225
